Season,Day,Month,Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
Spring,Friday,March,12,10,10,1,1,1,1,1,1,1,1,2,2,13,13,16,16,4,4,4,4,4,4,4,4,13.1,13.1,17,17,10,10,5,10,5,10,5,5,5,5,20,20,5,5,12,12,1,1,12,12
Spring,Saturday,March,13,5,5,1,1,1,1,1,1,1,1,2,2,1,1,13.1,13.1,5,5,5,12,13,14,25,25,5,10,5,5,5,5,5,20,5,5,5,5,5,5,5,13,17,17,5,12,5,5,1,1
Spring,Sunday,March,14,1,1,1,1,1,1,5,5,5,5,5,5,5,5,16,16,4,4,4,4,4,4,4,4,4,4,4,4,16,16,13.1,13.1,12,12,17,17,5,5,5,12,5,5,5,5,5,12,5,12
Spring,Monday,March,15,1,1,1,1,1,1,1,1,2,2,5,5,5,5,16,16,4,4,4,4,4,4,16,16,13,13,25,25,17,17,5,5,5,5,5,5,5,5,11,11,5,13,5,12,5,12,5,5
Spring,Tuesday,March,16,1,1,1,1,1,1,1,1,2,2,5,5,5,5,16,16,4,4,4,4,16,16,13,13,5,10,19,19,10,10,5,5,5,5,12,12,17,17,5,5,5,10,5,12,17,17,5,5
Spring,Wednesday,March,17,1,1,1,1,1,1,1,1,2,2,5,5,5,5,16,16,4,4,4,4,11,11,13,13,10,10,14,14,5,10,5,5,13.1,13.1,5,5,5,10,5,5,13.1,13.1,12,12,5,12,5,5
Spring,Thursday,March,18,1,1,1,1,1,1,2,2,1,1,5,5,5,5,16,16,4,4,4,4,4,4,11,11,4,4,4,4,16,16,13.1,13.1,7,7,17,17,19,19,5,5,13,13,5,10,5,12,5,5
Spring,Friday,March,19,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,10,10,5,13,5,5,16,16,4,4,11,11,25,25,12,12,13.1,13.1,16,16,13.1,13.1,13.1,13.1,17,17,22,22,12,12,9,9
Spring,Saturday,March,20,12,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,10,10,12,13,13,14,14,17,17,19,19,5,10,5,5,5,5,13.1,13.1,5,5,5,10,5,5,12,12,12,12,10,10
Spring,Sunday,March,21,17,17,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,10,13,14,18,18,14,14,5,10,5,5,5,20,17,17,5,5,5,5,5,10,13.1,13.1,25,25,12,12,12,12,5,12
Spring,Monday,March,22,1,1,1,1,1,1,1,1,1,1,2,2,1,1,16,16,4,4,4,4,16,16,13,13,17,17,5,10,5,5,5,10,5,5,5,5,5,10,13.1,13.1,5,10,12,12,5,12,5,12
Spring,Tuesday,March,23,1,1,1,1,1,1,1,1,2,2,5,5,5,5,16,16,4,4,4,4,11,11,11,11,4,4,4,4,16,16,13.1,13.1,19,19,18,18,10,10,24,24,24,24,12,12,5,12,5,12
Spring,Wednesday,March,24,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,13,13,14,14,17,17,10,10,5,5,5,5,5,5,5,5,20,20,5,5,5,5,5,5,5,10,5,12,5,12,5,5
Spring,Thursday,March,25,5,10,1,1,1,1,1,1,2,2,5,5,5,5,17,17,4,4,4,4,4,4,11,11,4,4,4,4,16,16,18,18,10,10,20,20,20,20,13.1,13.1,10,10,12,12,12,12,1,1
